Codigo,clave,descripcion
10000,PC-PE,"Pala (lampa) cuchara, Perú"
10012,M-20B,"Abrazadera 20 de acero inoxidable, blister con 2 pzas"
10013,M-10B,"Abrazadera 10 de acero inoxidable, blister con 2 pzas"
10014,PR-PE,"Pala (lampa) recta, Perú"
10021,M-4B,"Abrazadera 4 de acero inoxidable, blister con 4 pzas"
10025,JDTH-3/8X9,"Juego dados, punta torx, 3/8', 9 piezas"
10026,JDTH-1/2X10,"Juego dados, punta torx,1/2', 10 piezas"
10027,JDTH-1/4X7,"Juego dados torx hembra, 1/4', 7 piezas"
10031,MINI-6B,"Abrazadera mini-6 de acero inoxidable, blister con 4 pzas"
10032,MINI-4B,"Abrazadera mini-4 de acero inoxidable, blister con 4 pzas"
10035,ORG-11,Organizador 9' con 11 compartimentos
10036,ORG-13,Organizador 10' con 13 compartimentos
10037,CORG-20,"Charola organizadora, plástica, 20'"
10038,PAZAR-5,"Pala azada, redonda, # 5"
10039,PAZAC-5,"Pala azada, cuadrada, # 5"
10066,BOAC-2,"Bomba eléctrica para agua, centrífuga, 2 HP"
10067,BOMEX-25,"Bomba manual de extracción, 25 lts"
10068,BOAP-1/2,"Bomba eléctrica para agua, periférica, 1/2 HP"
10069,BOAP-3/4,"Bomba eléctrica para agua, periférica, 3/4 HP"
10070,BOAP-1,"Bomba eléctrica para agua, periférica, 1 HP"
10071,BOAC-1/4,"Bomba eléctrica para agua, centrífuga, 1/4 HP"
10072,BOAC-1/2,"Bomba eléctrica para agua, centrífuga, 1/2 HP"
10073,BOAC-3/4,"Bomba eléctrica para agua, centrífuga, 3/4 HP"
10074,BOAC-1,"Bomba eléctrica para agua, centrífuga, 1 HP"
10075,BOAC-1 1/2,"Bomba eléctrica para agua, centrífuga, 1-1/2 HP"
10077,HIDR-1/2X24,"Bomba hidroneumática de 1/2HP, 24 litros"
10079,CAT-15FF,"Carretilla 5 ft, llanta imponchable"
10097,CATA-40,Cama de taller 40'
10098,CATA-36,Cama de taller 36'
10210,AJ-6,Arco junior para segueta 6'
10220,REP-AJ-6,"Repuesto de segueta para arco AJ-6, blister con 5 pzas"
10221,ACA-6X,Arco calador para segueta 6'
10229,REP-ACA-6X,"Repuesto de segueta para ACA-6X, blister con 8 pzas"
10230,APT-12,Arco profesional de solera para segueta 12'
10232,ATX-12,Arco profesional alta tensión para segueta 12'
10233,CAT-45FF,"Carretilla 4.5 ft, llanta imponchable"
10234,ATT-12,Arco profesional tubular para segueta 12'
10235,FDO-2,"Fumigador doméstico, 2 lts"
10236,MAT-12,Mini arco de aluminio para segueta 12'
10252,CAT-50FF,"Carretilla 5.5 ft, llanta imponchable"
10253,CAT-55FF,"Carretilla 5 ft, angosta, llanta imponchable"
10254,AJT-21,"Arco jardinero tubular, 21'"
10255,CAT-60FF,"Carretilla 6 ft, llanta imponchable"
10256,T-460-18BB,"Machete pulido estándar de 18', cacha negra, en bolsa"
10257,PAZAC-6,"Pala azada, cuadrada, # 6"
10258,AJT-24,"Arco jardinero tubular, 24'"
10259,GA-10R,Gancho 10' recto
10260,AJT-30,"Arco jardinero tubular, 30'"
10263,PAZAR-6,"Pala azada, redonda, # 6"
10264,EST-24,"Escalera de tijera, tipo ll, 4 escalones y bandeja"
10266,REP-AJT-21,Repuesto de segueta para AJT-21
10270,REP-AJT-24,Repuesto de segueta para AJT-24
10271,REP-AJT-30,Repuesto de segueta para AJT-30
10303,REG-3X,Regadera giratoria con 3 brazos color natural
10307,REG-3X-2,Regadera giratoria con 3 brazos color latón
10312,ASP-MAN,"Aspersor base metálica, tipo manguera"
10313,SU-5400,"Sujetadores con matraca, carga máxima 5400 kgs"
10314,SU-6000,"Sujetadores con matraca, carga máxima 6000 kgs"
10315,ASP,"Aspersor metálico, cabeza sola"
10316,ASP-3/4BR,"Aspersor agrícola 3/4', fundido en latón"
10317,ASP-1BR,"Aspersor agrícola 1', fundido en latón"
10318,ASP-11,"Aspersor metálico una vía, estaca de 11'"
10321,ASP-11X,"Aspersor metálico dos vías, estaca de 11'"
10323,ASP-11R,"Aspersor metálico reforzado, estaca de escalón"
10324,DOS,"Aspersor metálico doble chorro, cabeza sola"
10325,REG-32,Regadera con extensión de 32'
10327,DOS-11,"Aspersor metálico doble chorro, una vía, estaca de 11'"
10328,ASP-8,"Aspersor metálico, 8 funciones"
10329,ASP-50,"Aspersor metálico, giratorio con aspas,diámetro riego 5 mts"
10330,DOS-11X,"Aspersor metálico dos vías, estaca metálica de 11'"
10333,ASP-P,Aspersor plástico cabeza sola
10335,EST-25,"Escalera de tijera, tipo ll, 5 escalones y bandeja"
10336,ASP-P11,"Aspersor plástico una vía, estaca de 11'"
10337,EST-27,"Escalera de tijera, tipo ll, 7 escalones y bandeja"
10338,EST-28,"Escalera de tijera, tipo ll, 8 escalones y bandeja"
10339,ASP-P11X,"Aspersor plástico dos vías, estaca de 11'"
10351,SAPO-1,"Aspersor metálico, tipo sapo, de chorro fino"
10358,ACE-15,"Azadón Centroamericano, sin mango, 1.5 lbs"
10359,ACE-20,"Azadón Centroamericano, sin mango, 2 lbs"
10361,ACE-25,"Azadón Centroamericano, sin mango, 2.5 lbs"
10362,ACE-30,"Azadón Centroamericano, sin mango, 3 lbs"
10363,OSCI-17,"Aspersor oscilatorio, metal-plástico"
10364,ACE-35,"Azadón Centroamericano, sin mango, 3.5 lbs"
10366,EST-8,"Estaca metálica universal para aspersor, 8'"
10370,CAS-B,Casco de seguridad color blanco
10371,CAS-Z,Casco de seguridad color azul
